MsgID.STATE,0.0000000,False,False
MsgID.GLOBAL_POSITION,0.0000000,-122.3974524,37.7931435,0.1010000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,40.3150000,73.6732941,0.0767328,-0.1010642
MsgID.LOCAL_VELOCITY,40.3150000,-0.0000301,0.0000092,0.0000188
MsgID.GLOBAL_POSITION,0.0000000,-122.3974541,37.7931423,0.1040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,40.5650000,73.5476608,-0.0751970,-0.1048959
MsgID.LOCAL_VELOCITY,40.5650000,-0.0000339,0.0000059,0.0000176
MsgID.GLOBAL_POSITION,0.0000000,-122.3974533,37.7931433,0.1000000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,40.8150000,73.6491547,-0.0041557,-0.1004372
MsgID.LOCAL_VELOCITY,40.8150000,-0.0000193,-0.0000054,0.0000137
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974535,37.7931435,0.0850000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,41.0650000,73.6739578,-0.0174546,-0.0855671
MsgID.LOCAL_VELOCITY,41.0650000,-0.0000342,0.0000055,0.0000116
MsgID.GLOBAL_POSITION,0.0000000,-122.3974534,37.7931432,0.0610000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,41.3150000,73.6380920,-0.0156328,-0.0610279
MsgID.LOCAL_VELOCITY,41.3150000,-0.0000190,-0.0000034,0.0000134
MsgID.GLOBAL_POSITION,0.0000000,-122.3974521,37.7931439,0.0300000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,41.5660000,73.7206955,0.1058946,-0.0305028
MsgID.LOCAL_VELOCITY,41.5660000,-0.0000223,0.0000018,0.0000197
MsgID.GLOBAL_POSITION,0.0000000,-122.3974521,37.7931429,-0.0010000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,41.8170000,73.6132889,0.0992789,0.0019676
MsgID.LOCAL_VELOCITY,41.8170000,-0.0000220,0.0000048,0.0000128
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974539,37.7931427,-0.0280000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,42.0670000,73.5907822,-0.0544969,0.0283529
MsgID.LOCAL_VELOCITY,42.0670000,-0.0000299,0.0000101,0.0000109
MsgID.GLOBAL_POSITION,0.0000000,-122.3974550,37.7931448,-0.0450000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,42.3180000,73.8242493,-0.1590215,0.0458063
MsgID.LOCAL_VELOCITY,42.3180000,-0.0000209,-0.0000008,0.0000179
MsgID.GLOBAL_POSITION,0.0000000,-122.3974523,37.7931433,-0.0490000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,42.5680000,73.6503143,0.0843338,0.0491226
